date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:10	121/121	---MCZ	200	added ('OK')	text/plain	date:Sun,%2028%20Sep%202025%2005:27:09%20GMT	https://munich.qodeinteractive.com/robots.txt		(from )
10:57:12	142895/142895	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2005:27:11%20GMT	https://munich.qodeinteractive.com/divided-slider/	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/divided-slider/index.html	(from )
10:57:14	21598/21598	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2012:57:02%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.0.8	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sbi-styles.mind42d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:16	9130/9130	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/dripicons/assets/css/dripicons.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/dripicons/assets/css/dripicons.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:17	22518/22518	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/elegant-icons/assets/css/elegant-icons.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:20	27340/27340	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/fontkiko/assets/css/kiko-all.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/fontkiko/assets/css/kiko-all.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:20	59344/59344	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/font-awesome/assets/css/all.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/font-awesome/assets/css/all.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:21	45219/45219	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/ionicons/assets/css/ionicons.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/ionicons/assets/css/ionicons.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:22	42983/42983	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/linea-icons/assets/css/linea-icons.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/linea-icons/assets/css/linea-icons.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
10:57:22	7231/7231	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2011:09:27%20GMT	https://munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/linear-icons/assets/css/linear-icons.min.css?ver=6.8.2	C:/My%20Web%20Sites/AM-WEB/munich.qodeinteractive.com/wp-content/plugins/munich-core/inc/icons/linear-icons/assets/css/linear-icons.min6c2d.css	(from https://munich.qodeinteractive.com/divided-slider/)
